gpcr,name,accession,receptor_class,receptor_family,ligand_type,subfamily,endogenous_ligands,species
oprd_human,&delta; receptor,P41143,Class A (Rhodopsin),Opioid receptors,Peptide receptors,&delta; receptor,"[{'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'endomorphin-1'}, {'name': '&beta;-endorphin'}, {'name': '&beta;-endorphin'}, {'name': '&beta;-endorphin'}]",Homo sapiens
oprk_human,&kappa; receptor,P41145,Class A (Rhodopsin),Opioid receptors,Peptide receptors,&kappa; receptor,"[{'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '&alpha;-neoendorphin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': '&beta;-endorphin'}, {'name': '&beta;-neoendorphin'}, {'name': '&beta;-neoendorphin'}, {'name': '&beta;-neoendorphin'}, {'name': '&beta;-neoendorphin'}, {'name': '&beta;-neoendorphin'}, {'name': '&beta;-neoendorphin'}, {'name': 'big dynorphin'}, {'name': 'big dynorphin'}, {'name': 'big dynorphin'}, {'name': '&beta;-endorphin'}, {'name': '&beta;-endorphin'}]",Homo sapiens
oprm_human,&mu; receptor,P35372,Class A (Rhodopsin),Opioid receptors,Peptide receptors,&mu; receptor,"[{'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Leu]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': '[Met]enkephalin'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A-(1-13)'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin A-(1-8)'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'dynorphin B'}, {'name': 'endomorphin-1'}, {'name': '&beta;-endorphin'}, {'name': 'endomorphin-2'}, {'name': '&beta;-endorphin'}, {'name': '&beta;-endorphin'}]",Homo sapiens
oprx_human,NOP receptor,P41146,Class A (Rhodopsin),Opioid receptors,Peptide receptors,NOP receptor,"[{'name': 'nociceptin/orphanin FQ'}, {'name': 'nociceptin/orphanin FQ'}, {'name': 'nociceptin/orphanin FQ'}, {'name': 'nociceptin/orphanin FQ'}, {'name': 'nociceptin/orphanin FQ'}, {'name': 'nociceptin/orphanin FQ'}]",Homo sapiens
ox1r_human,OX<sub>1</sub> receptor,O43613,Class A (Rhodopsin),Orexin receptors,Peptide receptors,OX<sub>1</sub> receptor,"[{'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-B'}, {'name': 'orexin-B'}, {'name': 'orexin-B'}]",Homo sapiens
ox2r_human,OX<sub>2</sub> receptor,O43614,Class A (Rhodopsin),Orexin receptors,Peptide receptors,OX<sub>2</sub> receptor,"[{'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-A'}, {'name': 'orexin-B'}, {'name': 'orexin-B'}, {'name': 'orexin-B'}]",Homo sapiens
qrfpr_human,QRFP receptor,Q96P65,Class A (Rhodopsin),Peptide P518 receptors,Peptide receptors,QRFP receptor,"[{'name': 'QRFP43 (43RFa)'}, {'name': 'QRFP43'}, {'name': 'QRFP26 (26RFa)'}]",Homo sapiens
prlhr_human,PrRP receptor,P49683,Class A (Rhodopsin),Prolactin-releasing peptide receptors,Peptide receptors,PrRP receptor,"[{'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'PrRP-20'}, {'name': 'PrRP-20'}, {'name': 'PrRP-31'}, {'name': 'PrRP-31'}, {'name': 'PTHrP'}]",Homo sapiens
par1_human,PAR1,P25116,Class A (Rhodopsin),Proteinase-activated receptors,Peptide receptors,PAR1,"[{'name': 'thrombin'}, {'name': 'thrombin'}, {'name': 'thrombin'}]",Homo sapiens
par2_human,PAR2,P55085,Class A (Rhodopsin),Proteinase-activated receptors,Peptide receptors,PAR2,[],Homo sapiens
par3_human,PAR3,O00254,Class A (Rhodopsin),Proteinase-activated receptors,Peptide receptors,PAR3,"[{'name': 'thrombin'}, {'name': 'thrombin'}, {'name': 'thrombin'}]",Homo sapiens
par4_human,PAR4,Q96RI0,Class A (Rhodopsin),Proteinase-activated receptors,Peptide receptors,PAR4,"[{'name': 'cathepsin G'}, {'name': 'cathepsin G'}, {'name': 'cathepsin G'}, {'name': 'thrombin'}, {'name': 'thrombin'}, {'name': 'thrombin'}]",Homo sapiens
rxfp1_human,RXFP1,Q9HBX9,Class A (Rhodopsin),Relaxin family peptide receptors,Peptide receptors,RXFP1,"[{'name': 'relaxin-1'}, {'name': 'relaxin'}, {'name': 'relaxin-3'}]",Homo sapiens
rxfp2_human,RXFP2,Q8WXD0,Class A (Rhodopsin),Relaxin family peptide receptors,Peptide receptors,RXFP2,"[{'name': 'relaxin-1'}, {'name': 'relaxin'}, {'name': 'relaxin-3'}, {'name': 'INSL3'}]",Homo sapiens
rl3r1_human,RXFP3,Q9NSD7,Class A (Rhodopsin),Relaxin family peptide receptors,Peptide receptors,RXFP3,"[{'name': 'relaxin'}, {'name': 'relaxin-3'}, {'name': 'relaxin-3 (B chain)'}, {'name': 'INSL5'}]",Homo sapiens
rl3r2_human,RXFP4,Q8TDU9,Class A (Rhodopsin),Relaxin family peptide receptors,Peptide receptors,RXFP4,"[{'name': 'relaxin-3'}, {'name': 'relaxin-3 (B chain)'}, {'name': 'INSL5'}]",Homo sapiens
ssr1_human,SST1 receptor,P30872,Class A (Rhodopsin),Somatostatin receptors,Peptide receptors,SST1 receptor,"[{'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'CST-17'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}]",Homo sapiens
ssr2_human,SST2 receptor,P30874,Class A (Rhodopsin),Somatostatin receptors,Peptide receptors,SST2 receptor,"[{'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'CST-17'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}]",Homo sapiens
ssr3_human,SST3 receptor,P32745,Class A (Rhodopsin),Somatostatin receptors,Peptide receptors,SST3 receptor,"[{'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'CST-17'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}]",Homo sapiens
ssr4_human,SST4 receptor,P31391,Class A (Rhodopsin),Somatostatin receptors,Peptide receptors,SST4 receptor,"[{'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'CST-17'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}]",Homo sapiens
ssr5_human,SST5 receptor,P35346,Class A (Rhodopsin),Somatostatin receptors,Peptide receptors,SST5 receptor,"[{'name': 'cortistatin-14'}, {'name': 'cortistatin-14'}, {'name': 'CST-17'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-14'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}, {'name': 'SRIF-28'}]",Homo sapiens
nk1r_human,NK<sub>1</sub> receptor,P25103,Class A (Rhodopsin),Tachykinin receptors,Peptide receptors,NK<sub>1</sub> receptor,"[{'name': 'hemokinin 1'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide-&gamma;'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}]",Homo sapiens
nk2r_human,NK<sub>2</sub> receptor,P21452,Class A (Rhodopsin),Tachykinin receptors,Peptide receptors,NK<sub>2</sub> receptor,"[{'name': 'hemokinin 1'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide K'}, {'name': 'neuropeptide K'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}, {'name': 'neuropeptide &gamma;'}]",Homo sapiens
nk3r_human,NK<sub>3</sub> receptor,P29371,Class A (Rhodopsin),Tachykinin receptors,Peptide receptors,NK<sub>3</sub> receptor,"[{'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin A'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'neurokinin B'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}, {'name': 'substance P'}]",Homo sapiens
trfr_human,TRH<sub>1</sub> receptor,P34981,Class A (Rhodopsin),Thyrotropin-releasing hormone receptors,Peptide receptors,TRH<sub>1</sub> receptor,"[{'name': 'TRH'}, {'name': 'TRH'}, {'name': 'TRH'}, {'name': 'TRH'}, {'name': 'TRH'}, {'name': 'TRH'}]",Homo sapiens
ur2r_human,UT receptor,Q9UKP6,Class A (Rhodopsin),Urotensin receptors,Peptide receptors,UT receptor,"[{'name': 'urotensin-II'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}, {'name': 'urotensin II-related peptide'}]",Homo sapiens
v1ar_human,V<sub>1A</sub> receptor,P37288,Class A (Rhodopsin),Vasopressin and oxytocin receptors,Peptide receptors,V<sub>1A</sub> receptor,"[{'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}]",Homo sapiens
v1br_human,V<sub>1B</sub> receptor,P47901,Class A (Rhodopsin),Vasopressin and oxytocin receptors,Peptide receptors,V<sub>1B</sub> receptor,"[{'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}]",Homo sapiens
v2r_human,V<sub>2</sub> receptor,P30518,Class A (Rhodopsin),Vasopressin and oxytocin receptors,Peptide receptors,V<sub>2</sub> receptor,"[{'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}]",Homo sapiens
oxyr_human,OT receptor,P30559,Class A (Rhodopsin),Vasopressin and oxytocin receptors,Peptide receptors,OT receptor,"[{'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'vasopressin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}, {'name': 'oxytocin'}]",Homo sapiens
cml1_human,chemerin receptor,Q99788,Class A (Rhodopsin),Chemerin receptor,Protein receptors,chemerin receptor,"[{'name': 'chemerin'}, {'name': 'resolvin E1'}, {'name': 'resolvin E1'}, {'name': 'EPA'}, {'name': '18R-HEPE'}, {'name': 'chemerin C-terminal peptide'}]",Homo sapiens
cml2_human,chemerin receptor 2,P46091,Class A (Rhodopsin),Chemerin receptor,Protein receptors,chemerin receptor 2,[{'name': 'chemerin'}],Homo sapiens
ccr1_human,CCR1,P32246,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR1,"[{'name': 'CCL14'}, {'name': 'CCL15'}, {'name': 'CCL23'}, {'name': 'CCL3'}, {'name': 'CCL4'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL13'}, {'name': 'CCL8'}, {'name': 'CCL16'}, {'name': 'CCL3'}, {'name': 'CCL3'}, {'name': 'CCL4'}, {'name': 'CCL4'}, {'name': 'CCL5'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL7'}, {'name': 'CCL8'}]",Homo sapiens
ccr2_human,CCR2,P41597,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR2,"[{'name': 'CCL7'}, {'name': 'CCL11'}, {'name': 'CCL13'}, {'name': 'CCL2'}, {'name': 'CCL8'}, {'name': 'CCL24'}, {'name': 'CCL26'}, {'name': 'CCL11'}, {'name': 'CCL16'}, {'name': 'CCL2'}, {'name': 'CCL2'}, {'name': 'CCL7'}, {'name': 'CCL7'}, {'name': 'CCL8'}, {'name': 'CCL11'}]",Homo sapiens
ccr3_human,CCR3,P51677,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR3,"[{'name': 'CCL15'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL11'}, {'name': 'CCL13'}, {'name': 'CCL2'}, {'name': 'CCL8'}, {'name': 'CCL24'}, {'name': 'CCL26'}, {'name': 'CCL11'}, {'name': 'CXCL10'}, {'name': 'CXCL11'}, {'name': 'CXCL9'}, {'name': 'CCL28'}, {'name': 'CCL2'}, {'name': 'CCL2'}, {'name': 'CCL5'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL7'}, {'name': 'CCL8'}, {'name': 'CCL11'}, {'name': 'CCL24'}, {'name': 'CXCL9'}, {'name': 'CXCL10'}, {'name': 'CXCL10'}, {'name': 'CXCL11'}, {'name': 'CCL28'}]",Homo sapiens
ccr4_human,CCR4,P51679,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR4,"[{'name': 'CCL17'}, {'name': 'CCL22'}, {'name': 'CCL22'}]",Homo sapiens
ccr5_human,CCR5,P51681,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR5,"[{'name': 'CCL14'}, {'name': 'CCL3'}, {'name': 'CCL4'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL11'}, {'name': 'CCL13'}, {'name': 'CCL2'}, {'name': 'CCL8'}, {'name': 'CCL11'}, {'name': 'CCL16'}, {'name': 'CCL2'}, {'name': 'CCL2'}, {'name': 'CCL3'}, {'name': 'CCL3'}, {'name': 'CCL4'}, {'name': 'CCL4'}, {'name': 'CCL5'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL7'}, {'name': 'CCL8'}, {'name': 'CCL11'}]",Homo sapiens
ccr6_human,CCR6,P51684,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR6,"[{'name': 'CCL20'}, {'name': 'beta-defensin 4A'}, {'name': 'CCL20'}, {'name': 'CCL20'}]",Homo sapiens
ccr7_human,CCR7,P32248,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR7,"[{'name': 'CCL19'}, {'name': 'CCL21'}]",Homo sapiens
ccr8_human,CCR8,P51685,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR8,"[{'name': 'CCL1'}, {'name': 'CCL1'}]",Homo sapiens
ccr9_human,CCR9,P51686,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR9,"[{'name': 'CCL25'}, {'name': 'CCL25'}]",Homo sapiens
ccr10_human,CCR10,P46092,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CCR10,"[{'name': 'CCL27'}, {'name': 'CCL28'}, {'name': 'CCL27'}, {'name': 'CCL28'}]",Homo sapiens
cxcr1_human,CXCR1,P25024,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CXCR1,"[{'name': 'CXCL6'}, {'name': 'CXCL8'}, {'name': 'cytokine domain of tyrosyl tRNA synthetase'}]",Homo sapiens
cxcr2_human,CXCR2,P25025,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CXCR2,"[{'name': 'CXCL1'}, {'name': 'CXCL6'}, {'name': 'CXCL8'}, {'name': 'CXCL1'}, {'name': 'CXCL2'}, {'name': 'CXCL3'}, {'name': 'CXCL5'}, {'name': 'CXCL7'}, {'name': 'CXCL1'}, {'name': 'CXCL2'}, {'name': 'CXCL2'}, {'name': 'CXCL3'}, {'name': 'CXCL3'}, {'name': 'CXCL5'}, {'name': 'CXCL5'}]",Homo sapiens
cxcr3_human,CXCR3,P49682,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CXCR3,"[{'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL11'}, {'name': 'CCL13'}, {'name': 'CCL20'}, {'name': 'CCL19'}, {'name': 'CXCL10'}, {'name': 'CXCL11'}, {'name': 'CXCL9'}, {'name': 'CXCL12&alpha;'}, {'name': 'CXCL9'}, {'name': 'CXCL10'}, {'name': 'CXCL10'}, {'name': 'CXCL11'}]",Homo sapiens
cxcr4_human,CXCR4,P61073,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CXCR4,"[{'name': 'CXCL12&beta;'}, {'name': 'CXCL12&alpha;'}, {'name': 'CXCL12'}, {'name': 'CXCL12&gamma;'}, {'name': 'CXCL12&delta;'}, {'name': 'CXCL12&epsilon;'}, {'name': 'CXCL12&phi;'}]",Homo sapiens
cxcr5_human,CXCR5,P32302,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CXCR5,"[{'name': 'CXCL13'}, {'name': 'CXCL13'}]",Homo sapiens
cxcr6_human,CXCR6,O00574,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CXCR6,"[{'name': 'CXCL16'}, {'name': 'CXCL16'}, {'name': 'CXCL16'}]",Homo sapiens
cx3c1_human,CX<sub>3</sub>CR1,P49238,Class A (Rhodopsin),Chemokine receptors,Protein receptors,CX<sub>3</sub>CR1,"[{'name': 'CX<sub>3</sub>CL1'}, {'name': 'CX<sub>3</sub>CL1'}, {'name': 'CX<sub>3</sub>CL1'}]",Homo sapiens
xcr1_human,XCR1,P46094,Class A (Rhodopsin),Chemokine receptors,Protein receptors,XCR1,"[{'name': 'XCL1'}, {'name': 'XCL2'}, {'name': 'XCL1'}, {'name': 'XCL1'}]",Homo sapiens
ackr1_human,ACKR1,Q16570,Class A (Rhodopsin),Chemokine receptors,Protein receptors,ACKR1,"[{'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL14'}, {'name': 'CCL11'}, {'name': 'CCL2'}, {'name': 'CCL17'}, {'name': 'CXCL6'}, {'name': 'CXCL8'}, {'name': 'CXCL5'}, {'name': 'CXCL11'}]",Homo sapiens
ackr2_human,ACKR2,O00590,Class A (Rhodopsin),Chemokine receptors,Protein receptors,ACKR2,"[{'name': 'CCL14'}, {'name': 'CCL3'}, {'name': 'CCL4'}, {'name': 'CCL5'}, {'name': 'CCL7'}, {'name': 'CCL11'}, {'name': 'CCL13'}, {'name': 'CCL2'}, {'name': 'CCL8'}, {'name': 'CCL17'}, {'name': 'CCL22'}]",Homo sapiens
